objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587731185129095320,357.60448662,-0.98604824,18.447315,16.982082,16.26717,15.874818,15.621341,2662,40,1,266,9.254597
587731186198118564,346.72422121,-0.15384813,18.555836,16.857801,16.023661,15.577361,15.222445,2662,40,3,194,9.192236
587731186198118551,346.70079192,-0.03202719,19.462835,17.691093,16.803595,16.464535,16.161636,2662,40,3,194,1.762655
587731186198053035,346.63745174,-0.11673919,20.023001,18.240911,17.231602,16.743073,16.342381,2662,40,3,193,4.521314
587731186198053001,346.55105764,-0.18856046,19.152922,17.906618,17.3836,17.040735,16.871716,2662,40,3,193,3.84683
587731185663410445,351.76456888,-0.55456954,20.886734,18.420927,17.468317,17.000315,16.718491,2662,40,2,227,4.552145
587731185663410354,351.66326954,-0.59400415,17.89662,16.651247,16.104301,15.729204,15.56131,2662,40,2,227,10.331041
587731185663344902,351.57002812,-0.48747292,20.223154,18.657995,17.852316,17.453274,17.115023,2662,40,2,226,3.854191
587731185663344853,351.50908245,-0.53371055,19.271931,17.721542,16.873514,16.410864,16.095276,2662,40,2,226,6.397755
587731185661247540,346.78539964,-0.48115584,17.492704,15.819444,15.037697,14.574858,14.205286,2662,40,2,194,14.367266
587731185661182179,346.64725158,-0.42157664,18.098894,16.295769,15.469228,15.057769,14.707238,2662,40,2,193,9.935843
587731185129816192,359.23608963,-0.98674768,17.67334,15.831528,15.060681,14.686506,14.383399,2662,40,1,277,8.041061
587731185129816189,359.22491381,-0.86636323,19.665255,17.693232,16.800034,16.377041,16.04635,2662,40,1,277,2.901548
587731185129750726,359.11374758,-0.84467736,17.118103,15.847457,15.321897,15.046,14.882856,2662,40,1,276,14.941404
587731185129750721,359.07757316,-1.0351285,20.410988,18.543348,17.404274,16.947081,16.569134,2662,40,1,276,4.019959
587731185129750586,359.02952963,-0.91651511,15.158436,13.760396,13.04719,12.668276,12.376574,2662,40,1,276,24.271273
587731185129160925,357.66641487,-0.96670892,19.279682,17.920885,17.304354,16.930172,16.688522,2662,40,1,267,5.587771
587731185129160888,357.76684379,-0.99847825,18.331656,17.156576,16.74456,16.496264,16.335896,2662,40,1,267,7.595486
587731185129160839,357.65494584,-0.8662566,18.644653,17.351923,16.906384,16.628309,16.451736,2662,40,1,267,9.485617
587731185129095453,357.52576302,-0.9912135,19.499378,18.073017,17.522854,17.191668,16.991249,2662,40,1,266,8.600923
587731185129095367,357.54518857,-0.84141669,19.322716,17.95343,17.132671,16.758089,16.445028,2662,40,1,266,7.245521
587731185129095208,357.54318678,-1.01686726,17.542332,16.292212,15.742578,15.479216,15.257345,2662,40,1,266,8.538981
587731185128439982,356.07260965,-0.85490491,20.559807,18.666378,17.354479,16.811623,16.398487,2662,40,1,256,4.153403
587731185128439938,356.01286781,-0.93790245,19.743383,17.745283,16.717278,16.214746,15.818525,2662,40,1,256,5.158767
587731185128374435,355.95240798,-0.94091027,20.242775,18.432692,17.269728,16.760662,16.287304,2662,40,1,255,5.018258
587731185128374342,355.93158635,-0.91057443,19.070311,17.184872,16.148363,15.653088,15.261006,2662,40,1,255,8.836853
587731185128046795,355.18465984,-0.88746164,18.655222,17.952606,17.774567,17.762005,17.697376,2662,40,1,250,8.757466
587731185128046785,355.17321512,-0.97068615,18.58824,17.240788,16.516117,16.084558,15.832393,2662,40,1,250,4.997097
587731185127981196,354.9695669,-0.97535993,19.674442,17.604235,16.550007,16.092308,15.741598,2662,40,1,249,6.308705
587731185127981188,354.94331201,-0.86834474,20.139473,18.160528,17.121801,16.650957,16.316492,2662,40,1,249,5.684482
