objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587722982293700737,218.31284355,-0.82461046,18.883247,16.893147,15.896731,15.461132,15.085505,752,40,2,499,4.616416
587722982293766321,218.34684646,-0.79449372,21.402985,18.914375,17.489611,16.969564,16.576473,752,40,2,500,5.855865
587722982294094070,219.21216236,-0.70027471,20.609507,18.230566,16.855623,16.353369,16.010281,752,40,2,505,8.240715
587722982294618145,220.38510735,-0.70739445,20.278728,18.357841,17.118683,16.600853,16.195578,752,40,2,513,4.888351
587722982295863624,223.21327317,-0.73994406,18.281242,16.233122,15.25505,14.816873,14.456747,752,40,2,532,9.147053
587722982296453497,224.58045187,-0.75424917,21.494141,19.576048,17.916243,17.318512,16.9146,752,40,2,541,5.901061
587722982299992357,232.63874406,-0.80931771,18.067747,15.877247,14.794683,14.299157,13.896129,752,40,2,595,14.176139
587722982830899589,219.05686869,-0.26933567,20.596939,18.565815,17.21559,16.700335,16.349524,752,40,3,504,7.221045
587722982831030679,219.37097933,-0.2666654,19.208418,17.193138,16.122629,15.641787,15.226597,752,40,3,506,10.088964
587722982831096120,219.43003317,-0.25347606,19.359806,17.106474,16.005735,15.543551,15.166694,752,40,3,507,8.950504
587722982832144516,221.85016906,-0.40305029,19.878256,17.623314,16.361652,15.870327,15.50819,752,40,3,523,9.797291
587722982832668797,223.06693011,-0.29362259,17.323624,15.453518,14.598087,14.201714,13.881251,752,40,3,531,9.893919
587722982833127697,224.03849148,-0.22580571,19.161743,17.350765,16.381737,15.966867,15.628629,752,40,3,538,5.686569
587722983370850552,226.01357586,0.0345977,21.665651,19.169773,17.680885,17.113333,16.752838,752,40,4,551,4.513549
587722983371702562,227.96379967,0.16269372,21.789642,19.133757,17.664087,17.131351,16.764061,752,40,4,564,6.375137
587722983372161565,229.08298348,0.05959273,19.546915,17.530663,16.442358,15.96543,15.589991,752,40,4,571,4.490474
587722983373209693,231.41542452,6.10691E-3,20.369675,18.493532,17.624123,17.196466,16.892826,752,40,4,587,5.843795
587722983375110182,235.71579943,0.02662637,19.754299,17.906193,16.977016,16.558062,16.244698,752,40,4,616,6.925848
587725489986011309,251.63817428,63.65811768,18.446669,16.287819,15.274637,14.835776,14.457146,1336,40,1,15,10.391923
587725489990599001,259.50473375,53.89574293,20.63431,18.855564,17.645947,17.166716,16.80098,1336,40,1,85,3.61422
587725490525372680,257.08990599,58.53207229,19.196781,17.206524,16.277617,15.839725,15.470368,1336,40,2,53,5.223742
587725490525831281,257.9575022,57.58954493,16.499548,14.537502,13.664952,13.222053,12.904755,1336,40,2,60,14.587299
587725490525896799,258.02762914,57.50400826,17.50252,15.703109,14.921992,14.550779,14.242808,1336,40,2,61,6.72856
587725491062767643,258.72351516,57.67334222,17.153465,15.35611,14.560995,14.174653,13.868324,1336,40,3,61,10.357121
587725491063881986,260.23730284,55.20778359,17.999004,15.99997,15.046387,14.60439,14.259115,1336,40,3,78,10.060886
587725491599442220,259.04011501,58.06716266,19.727875,17.814699,16.699615,16.265808,15.902452,1336,40,4,58,4.466087
